X;Y;Z;DISTANCE;INTENSITY;POINT_ID;RETURN_ID;AMBIENT;TIMESTAMP
6.818546652793884277e-01;2.518691778182983398e+00;-1.013422757387161255e-02;2.609375000000000000e+00;4.455000000000000000e+03;5.200000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573319712512e+18
6.613248586654663086e-01;2.512043952941894531e+00;-1.010323315858840942e-02;2.597656250000000000e+00;4.455000000000000000e+03;5.300000000000000000e+01;0.000000000000000000e+00;3.000000000000000000e+00;1.682415573319718912e+18
6.438252329826354980e-01;2.516586065292358398e+00;-1.011775247752666473e-02;2.597656250000000000e+00;4.417000000000000000e+03;5.400000000000000000e+01;0.000000000000000000e+00;6.000000000000000000e+00;1.682415573319725312e+18
6.222245693206787109e-01;2.505917072296142578e+00;-1.007157564163208008e-02;2.582031250000000000e+00;4.455000000000000000e+03;5.500000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573319731968e+18
6.066200733184814453e-01;2.517776727676391602e+00;-1.011650636792182922e-02;2.589843750000000000e+00;4.391000000000000000e+03;5.600000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+00;1.682415573319738368e+18
5.819886326789855957e-01;2.491503715515136719e+00;-1.002030167728662491e-02;2.558593750000000000e+00;4.430000000000000000e+03;5.700000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573319744768e+18
5.629113912582397461e-01;2.487873792648315430e+00;-1.001600176095962524e-02;2.550781250000000000e+00;4.391000000000000000e+03;5.800000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573319750912e+18
5.456057786941528320e-01;2.491725921630859375e+00;-1.004226505756378174e-02;2.550781250000000000e+00;4.417000000000000000e+03;5.900000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573319757312e+18
5.263279080390930176e-01;2.487884521484375000e+00;-1.003818865865468979e-02;2.542968750000000000e+00;4.417000000000000000e+03;6.000000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573319763712e+18
5.090011954307556152e-01;2.491486787796020508e+00;-1.006440538913011551e-02;2.542968750000000000e+00;4.366000000000000000e+03;6.100000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573319770112e+18
4.901562035083770752e-01;2.487300395965576172e+00;-1.006782241165637970e-02;2.535156250000000000e+00;4.404000000000000000e+03;6.200000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573319776512e+18
4.713736474514007568e-01;2.482976436614990234e+00;-1.007174234837293625e-02;2.527343750000000000e+00;4.353000000000000000e+03;6.300000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573319782656e+18
4.540786445140838623e-01;2.486197233200073242e+00;-1.010668743401765823e-02;2.527343750000000000e+00;4.404000000000000000e+03;6.400000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.682415573319788800e+18
4.351237416267395020e-01;2.481653213500976562e+00;-1.011086534708738327e-02;2.519531250000000000e+00;4.442000000000000000e+03;6.500000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573319795200e+18
4.171911180019378662e-01;2.480769872665405273e+00;-1.012997236102819443e-02;2.515625000000000000e+00;4.430000000000000000e+03;6.600000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573319801344e+18
3.986965715885162354e-01;2.475896120071411133e+00;-1.013847719877958298e-02;2.507812500000000000e+00;4.442000000000000000e+03;6.700000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573319807744e+18
3.814599812030792236e-01;2.478610038757324219e+00;-1.017973013222217560e-02;2.507812500000000000e+00;4.404000000000000000e+03;6.800000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573319813888e+18
3.641825616359710693e-01;2.481207370758056641e+00;-1.022103615105152130e-02;2.507812500000000000e+00;4.391000000000000000e+03;6.900000000000000000e+01;0.000000000000000000e+00;3.000000000000000000e+00;1.682415573319820032e+18
3.447483777999877930e-01;2.468206644058227539e+00;-1.019834820181131363e-02;2.492187500000000000e+00;4.494000000000000000e+03;7.000000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573319826176e+18
3.272763788700103760e-01;2.470583438873291016e+00;-1.024003606289625168e-02;2.492187500000000000e+00;4.379000000000000000e+03;7.100000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573319832320e+18
3.110587298870086670e-01;2.480551481246948242e+00;-1.031682733446359634e-02;2.500000000000000000e+00;4.430000000000000000e+03;7.200000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573319838464e+18
